date,burnt out,mental breakdown,can't focus,cannot focus,overwhelmed,lose my mind,losing my mindpanic attacks,feel like a failure,am a failure,cried,losing motivation,hate my major,why am i even doing this?,college has been horrible,depressed,hate myself,i'm cooked,am cooked,need to lock in,can't lock in,cannot lock in,overthinking,stressed,worried,disappointed in myself,feeling overwhelmed,withdraw,am panicking,aimlessness,wasted all my potential,wasted my time,so exhausted,feel exhausted,am exhausted,failing classes,barely passing,not going to graduate,wont graduate,won't graduatekilling me,falling behindbehind in school,behind in my classes,behind in all my classes,struggling to keep up,too many assignments,dropped out,can't pass,retaking a class,low grades,how am i going to survive,college lies,flunking,struggling with math,hate math,hard class,don't understand,screw over,screwed over,i'm screwed,nothing is clicking,don't get it,difficult exam,placed in wrong class,debt,struggle to learn,failed a class,behind on all my work,behind on my work,behind on work,in debt,no advisor helped me,bad advising,school won’t let me,can’t afford,financial hold,withdrew from,academic probation,took a gap semester,course recovery,transfer schools,going back to school,i feel dumb,i'm not smart enough,wish i could redo it,hopeless,no hope,sm anxiety,worrying about,have anxiety
2025-07-21,8,0,0,0,2,0,0,1,0,1,0,0,0,0,4,1,1,1,0,0,0,3,5,11,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-07-22,9,0,1,0,7,1,0,2,0,2,0,0,0,0,12,2,1,1,0,0,0,5,10,18,1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,3,0,0,2,1
2025-07-23,11,0,2,0,11,2,0,3,0,3,0,1,0,0,17,2,1,1,0,0,0,7,17,32,1,1,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,2,0,0,1,1,1,0,5,0,0,0,0,1,0,0,16,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,3,0,0,2,1
2025-07-24,13,1,2,0,13,3,0,3,0,4,0,1,0,0,22,5,2,1,1,0,0,8,22,45,1,2,12,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,1,2,0,0,1,1,1,1,6,0,0,0,0,2,0,0,29,0,1,0,0,0,5,0,0,0,7,0,1,1,0,0,0,6,0,1,0,4,0,0,2,1
2025-07-25,15,1,2,0,16,3,0,3,0,5,0,1,0,0,24,7,2,2,3,0,0,12,27,54,1,2,15,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,1,2,0,0,1,1,1,2,8,0,1,0,0,2,0,0,34,0,1,0,0,0,7,0,0,0,10,0,1,2,0,0,0,8,0,1,0,8,1,0,2,1
2025-07-26,17,1,2,0,20,3,0,3,0,7,0,1,0,0,24,7,3,2,3,0,0,15,32,58,1,3,15,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,1,3,0,0,1,1,1,2,9,0,1,0,0,3,0,0,38,0,1,0,0,0,7,0,0,0,12,0,1,2,0,0,0,9,0,1,0,9,1,0,3,2
2025-07-27,17,1,2,0,20,3,0,3,0,7,0,1,0,0,24,7,3,2,3,0,0,15,32,58,1,3,15,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,1,3,0,0,1,1,1,2,9,0,1,0,0,3,0,0,38,0,1,0,0,0,7,0,0,0,12,0,1,2,0,0,0,9,0,1,0,9,1,0,3,2
2025-07-28,10,4,2,0,23,3,0,2,0,7,0,1,0,0,22,6,2,1,3,0,0,13,31,60,0,3,9,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,8,0,1,3,0,0,1,0,1,2,8,0,1,0,0,4,0,0,39,0,1,0,0,0,7,0,0,0,12,0,1,2,0,0,0,9,0,1,0,10,1,0,3,1
2025-07-29,12,4,1,0,23,2,0,2,0,7,0,1,0,0,21,5,2,1,3,0,0,13,33,67,0,5,11,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,9,0,1,3,0,0,1,0,2,2,8,0,1,0,0,4,0,0,43,0,1,0,0,0,8,0,0,0,13,0,1,3,0,0,0,11,0,1,0,8,2,0,2,1
2025-07-30,14,4,1,0,26,1,0,1,0,8,1,0,0,0,20,5,2,1,3,0,0,15,38,78,0,4,12,0,0,0,4,2,0,0,1,2,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,1,2,10,0,1,0,0,3,0,0,47,0,1,0,0,0,10,0,0,0,12,0,1,4,0,0,0,12,0,1,0,11,2,0,4,1
2025-07-31,13,3,2,0,31,0,0,2,0,8,1,0,0,0,18,3,1,1,2,0,0,18,40,78,0,3,11,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,1,1,10,0,1,0,0,2,0,0,41,0,1,0,0,0,6,0,0,0,10,0,0,3,0,0,0,8,0,0,0,11,2,0,5,1
2025-08-01,14,4,2,0,33,0,0,2,0,8,1,0,0,0,21,1,1,1,0,0,0,16,39,86,0,4,9,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,1,0,9,0,0,0,0,2,0,0,41,0,1,0,0,0,8,0,0,0,8,0,0,2,0,0,0,7,0,0,0,10,1,0,5,1
2025-08-02,13,4,2,0,34,0,0,3,0,9,1,0,0,0,23,1,0,2,0,0,0,17,44,96,0,3,11,0,0,0,4,2,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,1,0,9,0,0,0,0,3,0,0,44,0,1,0,0,0,8,0,0,0,7,0,0,2,0,0,0,6,0,0,0,11,1,0,5,0
